image number,alt,article_heading
image_1_1.jpg,A grey industrial building with various pipes walkways and platforms attached to it stands in front of a large dome-shaped structure of a similar colour. The ground is covered with snow and the metallic structures show signs of rust and age.,Stalker 2: 'We want to show Ukraine can make great games'
image_1_2.jpg,A computer-generated rendering of a character wearing an old-fashioned gas mask with a hose connecting the mouthpiece to an oxygen tank on their back. They wear a thick coat with the hood up and in the background an abstract image of exploding metal structures is visible.,Stalker 2: 'We want to show Ukraine can make great games'
image_1_3.jpg,A screenshot from Stalker 2 shows a ferris wheel with obvious signs of decay and disrepair against a desolate backdrop of overgrown trees a dilapidated block of flats and various ground debris. A foreboding grey mist covers the scene and specks of black ash fall from the sky.,Stalker 2: 'We want to show Ukraine can make great games'
image_1_4.jpg,A group of people seen from behind sitting on a coach as it travels down a main road. The vehicle appears to be full with passengers and bright sunlight fills the horizon in the distance.,Stalker 2: 'We want to show Ukraine can make great games'
image_1_5.jpg,"A footer logo for BBC Newsbeat. It has the BBC logo and the word Newsbeat in white over a colorful background of violet purple and orange shapes. At the bottom a black square reading ""Listen on Sounds"" is visible.",Stalker 2: 'We want to show Ukraine can make great games'
image_1_6.jpg,A woman sits against a dimly lit amber background in an interview-type set up. She's smiling slightly her long curly red hair cascading down her shoulders.,Stalker 2: 'We want to show Ukraine can make great games'
image_2_1.jpg,A worker at Dallas Fort Worth International Airport watches multiple screens used to direct operations.,Airlines look to cut time spent on the tarmac
image_2_2.jpg,People waiting at a departure gate in Austin Texas in 2022.,Airlines look to cut time spent on the tarmac
image_2_3.jpg,The tail fins of eight Lufthansa aircraft parked at gates at Frankfurt airport.,Airlines look to cut time spent on the tarmac
image_3_1.jpg,Elon Musk smiles during an appearance at the US Open tennis tournament,Mystery surrounds Musk interview with US regulators
image_4_1.jpg,Plant manager looks at vehicle on an assembly line at the Toyota factory in Georgetown Kentucky.,Toyota delays US electric car plans as sales slow
image_5_1.jpg,OpenAI CEO Sam Altman speaks during the OpenAI DevDay event on November 06 2023 in San Francisco California. ,OpenAI value surges to $157bn in funding deal
image_6_1.jpg,Maksim Yakubets in Moscow,UK reveals father and son at heart of Evil Corp hackers
image_6_2.jpg,Maksim Yabubets his father Viktor Yakubets and brother Artem Yakubets,UK reveals father and son at heart of Evil Corp hackers
image_7_1.jpg,A person holds a Samsung smartphone that displays the loading screen of  Fortnite Battle Royale which shows a mix of colourful playable characters from the game against a bright purple background.,Samsung accused of obstructing Fortnite downloads
image_8_1.jpg,California Governor Gavin Newsom standing at a lectern speaking at a press conference with one arm slightly raised,California governor blocks landmark AI safety bill
image_9_1.jpg, A selfie of Georgia and John McGinty smiling at the camera,Uber terms mean couple can't sue after 'life-changing' crash
image_9_2.jpg,Georgia McGinty in a hospital bed in a neck brace with her dog lying next to her,Uber terms mean couple can't sue after 'life-changing' crash
image_9_3.jpg,The Uber car after the crash with the bonnet destroyed and the engine extensively damaged,Uber terms mean couple can't sue after 'life-changing' crash
image_10_1.jpg,Digital versions of two footballers vie for possession of the ball in a virtual match. ,'Everybody wants to be in': How songs are chosen for EA FC
image_10_2.jpg,The band Kasabian. All four members are dressed appropriate to the era 2004 which includes tight white low-cut t-shirts wavy haircuts and sharp facial hair.,'Everybody wants to be in': How songs are chosen for EA FC
image_10_3.jpg,A man with short brown hair celebrates as he runs towards the crowd,'Everybody wants to be in': How songs are chosen for EA FC
image_10_4.jpg,The two band members of Good Neighbours. Oli has short blonde hair and Scott has short brown hair. ,'Everybody wants to be in': How songs are chosen for EA FC
