image number,alt,article_heading,article_url
image_1_1.jpg,Moto blogger Anyutumini reported death threats,Shot: Moto blogger Anyutumini reported receiving death threats,https://news.rambler.ru/community/53531163-shot-motoblogersha-anyutumini-zayavila-o-postupayuschih-ey-ugrozah-ubiystvom/
image_2_1.jpg,Teacher of the Year chosen in Russia,Teacher of the Year Chosen in Russia,https://news.rambler.ru/community/53531005-v-rossii-vybrali-uchitelya-goda/
image_3_1.jpg,Dozens of Migrants Agree to Serve in Russian Armed Forces Following Raid in St. Petersburg,About 100 migrants agreed to sign a contract with the Russian Armed Forces,https://news.rambler.ru/community/53531020-okolo-100-migrantov-soglasilis-zaklyuchit-kontrakt-s-vs-rf/
image_4_1.jpg,Bakalchuk showed a certificate with a new surname,Co-founder of Wildberries marketplace officially changed her last name to Kim,https://news.rambler.ru/community/53530653-soosnovatelnitsa-marketpleysa-wildberries-ofitsialno-smenila-familiyu-na-kim/
image_4_2.jpg,,Co-founder of Wildberries marketplace officially changed her last name to Kim,https://news.rambler.ru/community/53530653-soosnovatelnitsa-marketpleysa-wildberries-ofitsialno-smenila-familiyu-na-kim/
image_5_1.jpg,Finnish professor suggests opening checkpoint on Russian border in test mode,Finnish professor suggests opening checkpoint on Russian border in test mode,https://news.rambler.ru/community/53530469-finskiy-professor-predlozhil-otkryt-kpp-na-granitse-s-rf-v-testovom-rezhime/
image_6_1.jpg,A pack of wolves terrorizes residents of a village in the Leningrad region,A pack of wolves terrorizes residents of a village in the Leningrad region,https://news.rambler.ru/community/53529971-staya-volkov-terroriziruet-zhiteley-poselka-v-lenoblasti/
image_7_1.jpg,Pavel Durov published a photo with his child for the first time,Pavel Durov published a photo with his child for the first time,https://news.rambler.ru/community/53529168-pavel-durov-vpervye-opublikoval-foto-so-svoim-rebenkom/
image_7_2.jpg,,Pavel Durov published a photo with his child for the first time,https://news.rambler.ru/community/53529168-pavel-durov-vpervye-opublikoval-foto-so-svoim-rebenkom/
image_8_1.jpg,Soyuzmultfilm editor-in-chief Tatyana Paporova has died,Soyuzmultfilm editor-in-chief Tatyana Paporova has died,https://news.rambler.ru/community/53529832-umerla-glavnyy-redaktor-soyuzmultfilma-tatyana-paporova/
image_9_1.jpg,Kandelaki explained why Lerchek has problems with the law,Kandelaki explained why Lerchek has problems with the law,https://news.rambler.ru/community/53529559-kandelaki-obyasnila-pochemu-u-lerchek-problemy-s-zakonom/
image_10_1.jpg,Roskomnadzor has published a new version of the project on the register of bloggers,Roskomnadzor has published a new version of the project on the register of bloggers,https://news.rambler.ru/community/53529597-roskomnadzor-opublikoval-novuyu-versiyu-proekta-o-reestre-blogerov/
