image number,alt,article_heading
image_1_1.jpg,Cover image,Carahsoft Boss Built Empire Off Government Sales Before FBI Raid
image_2_1.jpg,Cover image,US IPOs set to extend recovery after staging a solid comeback
image_3_1.jpg,Cover image,The Wordpress vs. WP Engine drama explained
image_4_1.jpg,Shale Insight 2024 held by the Marcellus Shale Coalition in Erie,Natural gas producers press Harris for answers in battleground state
image_4_2.jpg,Environmental activists protest outside of Shale Insight 2024 in Erie Pennsylvania,Natural gas producers press Harris for answers in battleground state
image_4_3.jpg,Environmental activists protest outside of Shale Insight 2024 in Erie Pennsylvania,Natural gas producers press Harris for answers in battleground state
image_4_4.jpg,Shale Insight 2024 held by the Marcellus Shale Coalition in Erie,Natural gas producers press Harris for answers in battleground state
image_4_5.jpg,Environmental activists protest outside of Shale Insight 2024 in Erie Pennsylvania,Natural gas producers press Harris for answers in battleground state
image_4_6.jpg,Environmental activists protest outside of Shale Insight 2024 in Erie Pennsylvania,Natural gas producers press Harris for answers in battleground state
image_4_7.jpg,Shale Insight 2024 held by the Marcellus Shale Coalition in Erie,Natural gas producers press Harris for answers in battleground state
image_4_8.jpg,Shale Insight 2024 held by the Marcellus Shale Coalition in Erie,Natural gas producers press Harris for answers in battleground state
image_4_9.jpg,Shale Insight 2024 held by the Marcellus Shale Coalition in Erie,Natural gas producers press Harris for answers in battleground state
image_4_10.jpg,Shale Insight 2024 held by the Marcellus Shale Coalition in Erie,Natural gas producers press Harris for answers in battleground state
image_5_1.jpg,Cover image,SAP Staff Morale Plunges in Internal Survey Amid Restructuring
image_6_1.jpg,Cover image,OpenAI Discusses Giving Altman 7% Stake in For-Profit Shift
image_7_1.jpg,Cover image,Exclusive-Funds approach Eni for second biofuel stake sale as it readies deal with KKR sources say
image_8_1.jpg,Cover image,Pfizer's Oxbryta exit may hasten trials of rival experimental sickle cell drugs analysts say
image_9_1.jpg,Cover image,Super Micro Probed by US Following Hindenburg Report WSJ Says
image_10_1.jpg,Cover image,FTC bars Hess CEO from Chevron board seat as condition of deal say sources
