image number,alt,article_heading
image_1_1.jpg,The Gunungan Tumpeng made of yellow stone was discarded during the ritual of cleansing the village of Kediri.,Seni Tradition and Resilience Multicultural
image_2_1.jpg,Portrait of Pilot Susi Air at Disandera KKB (right) and free-floating Satgas Damai Cartenz (right),Mengawal Kondisi Pilot Phillip Pasca Pembebasan
image_3_1.jpg,edy sutriono,Dry landfill
image_4_1.jpg,Long Baliho Nyolong Start Kian Menjamur,Fashion Show Politics and Banality Pilkada
image_5_1.jpg,Illustration focus (bukan buat insert) Picture directly ditinjau ulang (Nadia Permatasari/detikcom),Paslon Single dan Salon Pilkada
image_6_1.jpg,Mantan Menteri Internal Affairs (Mendagri) Gamawan Fauzi Menyambangi Building KPK. I will investigate the case related to corruption in e-KTP.,Senjakala President Jokowi di Mother Orang Minang
image_7_1.jpg,abdullah sidiq,The advantages of this item are as follows:
image_8_1.jpg,Illustrating Data Statistics,Statistics on Berquality for Indonesia Gold
image_9_1.jpg,KKP Hentikan Activity Pengerukan Sand di Perairan Pulau Tunda,Mengkaji relang policy export sand laut
image_10_1.jpg,Maximizing Agricultural Land Kering,Maximizing Agricultural Land Kering
