image number,alt,article_heading
image_1_1.jpg,FPÖ leader Herbert Kickl is in high spirits as the winner of the parliamentary elections in Austria. (Source: Helmut Fohringer/APA/dpa/dpa-bilder),FPÖ celebrates triumph in Austrian elections
image_2_1.jpg,Israeli airstrike on Yemen: After the Houthi rebels fired a rocket at Israel the IDF bombed the port in Al Hudaydah. (Source: Screenshot),Israel attacks targets of Houthi rebels in Yemen
image_3_1.jpg,A huge crater bears witness to the Israeli air strike on the former headquarters of Hezbollah. (Source: Marwan Naamani/dpa/dpa-bilder),After killing of Hezbollah leader situation in Middle East highly explosive
image_4_1.jpg,More and more migrants from Africa are heading for the Canary Islands. (Archive photo) (Source: Antonio Sempere/EUROPA PRESS/dpa/dpa-bilder),Dozens dead after boat accident off Canary Islands
image_5_1.jpg,Donald Trump: A fly visibly confused the presidential candidate. (Source: IMAGO/Mandi Wright),"""Not normal"": Trump loses his composure during speech"
image_6_1.jpg,Former Austrian Chancellor Sebastian Kurz (ÖVP): He fell in 2021 over a corruption scandal involving purchased opinion polls. (Source: IMAGO/photonews.at/Georges Schneider),What is Sebastian Kurz actually doing?
image_7_1.jpg,The consequences of Nasrallah's death for Lebanon are completely unclear (Source: Mustafa Jamalddine/AP/dpa/dpa-bilder),What does the death of Hezbollah leader Hassan Nasrallah mean?
image_8_1.jpg,The city of Zaporizhia is repeatedly the target of Russian attacks. (Source: ---/Ukrainian Emergency Service/AP/dpa/dpa-bilder),Ukraine: Injured after air strikes against Zaporizhia
image_9_1.jpg,Kremlin spokesman Dmitry Peskov defends the change in Russian nuclear doctrine by saying that Moscow sees its security threatened. (Archive photo) (Source: Vyacheslav Prokofyev/Sputnik Kremlin Pool via AP/dpa/dpa-bilder),Moscow defends expansion of nuclear doctrine
image_10_1.jpg,Hashim Safi al-Din: The chairman of the Executive Council could become the next head of Hezbollah. (Source: Daniel Carde via www.imago-images.de/imago-images-bilder),"The USA classifies him as ""particularly dangerous"""
