article_heading,img_src,altText,article_url
"Devastating setback for evacuated Gaza teen after surgery","https://ichef.bbci.co.uk/news/480/cpsprodpb/dcbe/live/8fcf6c90-55b2-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Shatha Abusalim Smiling mother Shatha stands over her seated daughter, Lamis, who is also smiling, at a school celebration in 2023. The picture is an exterior shot and the pair are infront of a banner with the school's name. There is a cluster of colourful balloons and green foliage. ","https://www.bbc.com/news/articles/czxlrlkk8k8o"
"Devastating setback for evacuated Gaza teen after surgery","https://ichef.bbci.co.uk/news/480/cpsprodpb/dcbe/live/8fcf6c90-55b2-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Shatha Abusalim Smiling mother Shatha stands over her seated daughter, Lamis, who is also smiling, at a school celebration in 2023. The picture is an exterior shot and the pair are infront of a banner with the school's name. There is a cluster of colourful balloons and green foliage. ","https://www.bbc.com/news/articles/czxlrlkk8k8o"
"Devastating setback for evacuated Gaza teen after surgery","https://ichef.bbci.co.uk/news/480/cpsprodpb/dcbe/live/8fcf6c90-55b2-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Shatha Abusalim Smiling mother Shatha stands over her seated daughter, Lamis, who is also smiling, at a school celebration in 2023. The picture is an exterior shot and the pair are infront of a banner with the school's name. There is a cluster of colourful balloons and green foliage. ","https://www.bbc.com/news/articles/czxlrlkk8k8o"
"Devastating setback for evacuated Gaza teen after surgery","https://ichef.bbci.co.uk/news/480/cpsprodpb/dcbe/live/8fcf6c90-55b2-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Shatha Abusalim Smiling mother Shatha stands over her seated daughter, Lamis, who is also smiling, at a school celebration in 2023. The picture is an exterior shot and the pair are infront of a banner with the school's name. There is a cluster of colourful balloons and green foliage. ","https://www.bbc.com/news/articles/czxlrlkk8k8o"
"Devastating setback for evacuated Gaza teen after surgery","https://ichef.bbci.co.uk/news/480/cpsprodpb/dcbe/live/8fcf6c90-55b2-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Shatha Abusalim Smiling mother Shatha stands over her seated daughter, Lamis, who is also smiling, at a school celebration in 2023. The picture is an exterior shot and the pair are infront of a banner with the school's name. There is a cluster of colourful balloons and green foliage. ","https://www.bbc.com/news/articles/czxlrlkk8k8o"
"Devastating setback for evacuated Gaza teen after surgery","https://ichef.bbci.co.uk/news/480/cpsprodpb/dcbe/live/8fcf6c90-55b2-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Shatha Abusalim Smiling mother Shatha stands over her seated daughter, Lamis, who is also smiling, at a school celebration in 2023. The picture is an exterior shot and the pair are infront of a banner with the school's name. There is a cluster of colourful balloons and green foliage. ","https://www.bbc.com/news/articles/czxlrlkk8k8o"
"Devastating setback for evacuated Gaza teen after surgery","https://ichef.bbci.co.uk/news/480/cpsprodpb/dcbe/live/8fcf6c90-55b2-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Shatha Abusalim Smiling mother Shatha stands over her seated daughter, Lamis, who is also smiling, at a school celebration in 2023. The picture is an exterior shot and the pair are infront of a banner with the school's name. There is a cluster of colourful balloons and green foliage. ","https://www.bbc.com/news/articles/czxlrlkk8k8o"
"Devastating setback for evacuated Gaza teen after surgery","https://ichef.bbci.co.uk/news/480/cpsprodpb/dcbe/live/8fcf6c90-55b2-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Shatha Abusalim Smiling mother Shatha stands over her seated daughter, Lamis, who is also smiling, at a school celebration in 2023. The picture is an exterior shot and the pair are infront of a banner with the school's name. There is a cluster of colourful balloons and green foliage. ","https://www.bbc.com/news/articles/czxlrlkk8k8o"
"Devastating setback for evacuated Gaza teen after surgery","https://ichef.bbci.co.uk/news/480/cpsprodpb/dcbe/live/8fcf6c90-55b2-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Shatha Abusalim Smiling mother Shatha stands over her seated daughter, Lamis, who is also smiling, at a school celebration in 2023. The picture is an exterior shot and the pair are infront of a banner with the school's name. There is a cluster of colourful balloons and green foliage. ","https://www.bbc.com/news/articles/czxlrlkk8k8o"
"Devastating setback for evacuated Gaza teen after surgery","https://ichef.bbci.co.uk/news/480/cpsprodpb/dcbe/live/8fcf6c90-55b2-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Shatha Abusalim Smiling mother Shatha stands over her seated daughter, Lamis, who is also smiling, at a school celebration in 2023. The picture is an exterior shot and the pair are infront of a banner with the school's name. There is a cluster of colourful balloons and green foliage. ","https://www.bbc.com/news/articles/czxlrlkk8k8o"
