image number,alt,article_heading,article_url
image_1_1.jpg,The day on which most Germans according to a survey enjoy themselves outside of their own relationship is surprising (symbolic image),Affair: On this day most partners cheat,https://www.bild.de/leben-wissen/psychologie-liebe/seitensprung-an-diesem-tag-gehen-die-meisten-partner-fremd-66f64ee63fe25e160dfe21b5
image_2_1.jpg,teaser image,Lull in bed: Does every marriage end without sex?,https://www.bild.de/leben-wissen/flaute-im-bett-endet-jede-ehe-ohne-sex-66aceec0edc0f10a82c8605a
image_3_1.jpg,An expert reveals that there are criminals who deliberately pretend to be someone else.,Psychologist gives insights: How we can recognize evil people,https://www.bild.de/leben-wissen/psychologie-liebe/psychologin-gibt-einblicke-woran-wir-boese-menschen-erkennen-koennen-66d5c87688d63f428ad462eb
image_4_1.jpg,teaser image,Love at its lowest point: When do you realize that it's over?,https://www.bild.de/leben-wissen/psychologie-liebe/liebe-am-tiefpunkt-wann-merkt-man-dass-es-vorbei-ist-66e2acdbfd0c4e5b099298dc
image_5_1.jpg,teaser image,Loneliness: Why Artificial Intelligence Makes Us Feel Alone,https://www.bild.de/leben-wissen/psychologie-liebe/einsamkeit-warum-wir-uns-durch-kuenstliche-intelligenz-alleine-fuehlen-66dffc56abbac57dd20e6453
image_6_1.jpg,Many people do not realize when the once happy partnership is actually long over,Love: Am I already living with my future ex?,https://www.bild.de/leben-wissen/psychologie-liebe/liebe-lebe-ich-schon-mit-meinem-zukuenftigen-ex-zusammen-66e406eddeedf92061b231b6
image_7_1.jpg,Hypnotist and magician Jan Becker brings back the holiday feeling,Holiday: With this trick you can extend your holiday feeling,https://www.bild.de/leben-wissen/psychologie-liebe/sie-werden-staunen-mit-diesem-trick-verlaengern-sie-ihr-urlaubsgefuehl-66d6cb4e04efa64d75224360
image_8_1.jpg,Burnout and mental illnesses due to the job are not isolated cases,Burnout depression: Why the job can make you mentally ill,https://www.bild.de/leben-wissen/psychologie-liebe/burn-out-depressionen-warum-der-job-psychisch-krank-machen-kann-66d17461e61b032a420a8b95
image_9_1.jpg,teaser image,Gaslighting and Co.: Am I being manipulated?,https://www.bild.de/leben-wissen/psychologie-liebe/gaslighting-und-co-werde-ich-manipuliert-66d5bbc688d63f428ad461e8
image_10_1.jpg,teaser image,Am I just having a crush or am I already cheating?,https://www.bild.de/leben-wissen/beziehung-7-tipps-wie-sie-mit-schwaermereien-richtig-umgehen-66acd7c7c3cfd352dfe766c9
